release_location_name,PR_Number,PR_MU_Number,StockID,FRAM_StockLongName,PR_MU,MU_Short_Name
ALLEN CR     23.0668,12,4,156,Humptulips River Hatchery Marked,12_4,humpth
GRAYS HARBOR TRIBS,12,4,156,Humptulips River Hatchery Marked,12_4,humpth
FORK CR      24.0356,13,2,164,Willapa Bay Hatchery Marked,13_2,willah
NORTH NEMAH R24.0460,13,2,164,Willapa Bay Hatchery Marked,13_2,willah
"NASELLE R    24.0543",13,2,164,Willapa Bay Hatchery Marked,13_2,willah
GRAYS R -WF  25.0131,14,1,166,Columbia River Early Hatchery Marked,14_1,colreh
BIG CR (LWR COL R),14,1,166,Columbia River Early Hatchery Marked,14_1,colreh
CEDAR CR #1 (SANDY R,14,1,166,Columbia River Early Hatchery Marked,14_1,colreh
TANNER CR (BNVILLE),14,1,166,Columbia River Early Hatchery Marked,14_1,colreh
COLUMBIA R-1,14,1,166,Columbia River Early Hatchery Marked,14_1,colreh
COLUMBIA R-2,14,1,166,Columbia River Early Hatchery Marked,14_1,colreh
WAHKEENA PD (LO COL),14,1,166,Columbia River Early Hatchery Marked,14_1,colreh
UMATILLA R,14,1,166,Columbia River Early Hatchery Marked,14_1,colreh
GREEN R      26.0323,14,1,166,Columbia River Early Hatchery Marked,14_1,colreh
YAKIMA R-LOW 37.0002,14,1,166,Columbia River Early Hatchery Marked,14_1,colreh
FALLERT CR   27.0017,14,1,166,Columbia River Early Hatchery Marked,14_1,colreh
L WHITE SALMON@WILRD,14,1,166,Columbia River Early Hatchery Marked,14_1,colreh
TOUTLE R-NF +GREEN R,14,1,166,Columbia River Early Hatchery Marked,14_1,colreh
WASHOUGAL R  28.0159,14,1,166,Columbia River Early Hatchery Marked,14_1,colreh
KLICKITAT R  30.0002,14,1,166,Columbia River Early Hatchery Marked,14_1,colreh
LEWIS R      27.0168,14,1,166,Columbia River Early Hatchery Marked,14_1,colreh
ELOCHOMAN R  25.0236,14,1,166,Columbia River Early Hatchery Marked,14_1,colreh
KLASKANINE R,14,2,168,Youngs Bay Hatchery Marked,14_2,youngh
KLASKANINE R N FK,14,2,168,Youngs Bay Hatchery Marked,14_2,youngh
TUCKER CR (YOUNGS R),14,2,168,Youngs Bay Hatchery Marked,14_2,youngh
YOUNGS R & BAY,14,2,168,Youngs Bay Hatchery Marked,14_2,youngh
KLASKANINE R S FK,14,2,168,Youngs Bay Hatchery Marked,14_2,youngh
COWLITZ R    26.0002,14,6,176,Columbia River Late Hatchery Marked,14_6,colrlh
KALAMA R     27.0002,14,6,176,Columbia River Late Hatchery Marked,14_6,colrlh
KLICKITAT+ WASHOUGAL,14,6,176,Columbia River Late Hatchery Marked,14_6,colrlh
NA,25,1,NA,NA,25_1,bccnhw
NA,26,1,NA,NA,26_1,bcnchw
NA,14,3,NA,NA,14_3,sandew
NA,14,4,NA,NA,14_4,clakew
NA,14,5,NA,NA,14_5,claklw
NA,22,2,NA,NA,22_2,frslww
NA,22,1,NA,NA,22_1,frslwh
NA,23,1,NA,NA,23_1,frsuph
NA,23,2,NA,NA,23_2,frsupw
